id,时间,状态,电机模块电机温度,电机模块速度激活值(RPM),电机速度实际值(RPM),高速轴前轴承轴温,高速轴后轴承轴温,高速轴锁紧器端轴承1#轴承对象值,高速轴锁紧器端轴承1#频域速度有效值,高速轴锁紧器端轴承1#时域加速度有效值,高速轴锁紧器端轴承1#时域加速度峰值,高速轴轴承1#轴承对象值,高速轴轴承1#频域速度有效值,高速轴轴承1#时域加速度有效值,高速轴轴承1#时域加速度峰值,主电机前轴承轴承对象值,主电机前轴承频域速度有效值,主电机前轴承时域加速度有效值,主电机前轴承时域加速度峰值,主电机后轴承轴承对象值,主电机后轴承频域速度有效值,主电机后轴承时域加速度有效值,主电机后轴承时域加速度峰值,N
0,2023/7/24 0:00,正常停机,38,1258.29,0.0,38,37,0.0,0,2.86,16.77,0.0,0.0,3.0,17.16,0.0,0.0,4.16,18.1,0.0,0.0,4.07,16.05,0
0,2023/7/24 0:05,正常停机,38,1258.29,0.0,38,37,0.0,0,2.77,16.55,0.0,0.0,3.18,17.24,0.0,0.0,4.1,19.0,0.0,0.0,4.09,16.59,0
0,2023/7/24 0:06,正常停机,38,1258.29,0.0,38,37,0.0,0,2.77,16.73,0.0,0.0,3.11,16.36,0.0,0.0,4.18,19.25,0.0,0.0,4.02,15.8,0
0,2023/7/24 0:12,正常停机,38,1258.29,0.0,38,37,0.0,0,2.84,16.16,0.0,0.0,3.22,17.11,0.0,0.0,4.13,18.89,0.0,0.0,4.03,16.39,0
0,2023/7/24 0:18,正常停机,38,1258.29,0.0,38,37,0.0,0,2.8,16.51,0.0,0.0,3.2,17.03,0.0,0.0,4.1,18.18,0.0,0.0,4.07,16.88,0
0,2023/7/24 0:20,正常停机,38,1258.29,0.0,38,37,0.0,0,2.8,16.55,0.0,0.0,3.13,17.5,0.0,0.0,4.12,18.76,0.0,0.0,4.06,16.25,0
0,2023/7/24 0:21,正常停机,38,1258.29,0.0,38,37,0.0,0,2.84,16.17,0.0,0.0,3.09,17.3,0.0,0.0,4.14,18.42,0.0,0.0,4.12,16.32,0
0,2023/7/24 0:31,正常停机,37,1258.29,0.0,38,37,0.0,0,2.82,16.3,0.0,0.0,3.17,17.07,0.0,0.0,4.16,19.77,0.0,0.0,4.06,16.98,0
0,2023/7/24 0:36,正常停机,37,1258.29,0.0,38,37,0.0,0,2.88,16.98,0.0,0.0,3.27,17.68,0.0,0.0,4.1,18.22,0.0,0.0,4.09,16.32,0
0,2023/7/24 0:37,正常停机,37,1258.29,0.0,38,37,0.0,0,2.82,16.88,0.0,0.0,3.12,16.7,0.0,0.0,4.12,18.63,0.0,0.0,4.12,16.06,0
